file,x,y,z-score,stddev,value,clusterIdx,clusterSz
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2502,732,-11.616866764751398,223.6341173807321,-2597.9277456647396,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,241,763,-7.071598608614377,4.776495176953665,-33.77745664739882,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,308,816,6.523281893863911,4.436753922748024,28.942196531791865,1,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,309,816,29.383833570075883,5.048979778253865,148.3583815028902,1,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3843,883,-6.883372987846387,5.534825145059245,-38.09826589595377,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4724,933,-17.526545440354138,49.146095253491985,-861.3612716763,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4945,958,-6.535400418479702,798.9917800763519,-5221.731213872832,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4970,994,7.015668010671314,3.076516020437583,21.583815028901768,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4842,1041,54.64968235411936,4.4343397742977055,242.33526011560696,2,4
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4842,1042,48.77426515465375,4.562187463714789,222.51734104046238,2,4
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4841,1043,18.657109406524164,4.728473808935346,88.2196531791908,2,4
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4842,1043,20.420105524278636,4.303958328349478,87.88728323699422,2,4
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2746,1084,-19.329806422384625,44.526460455132515,-860.6878612716755,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,152,1137,-6.0013399808218555,329.3113296148016,-1976.3092485549132,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4814,1210,-6.155375028910684,442.68138487067165,-2724.869942196532,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2147,1251,-6.167951011873754,4.587390145186267,-28.29479768786132,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,96,1345,-6.137508940606566,290.871808249128,-1785.2283236994217,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4986,1379,-6.294146888234795,3.47694349245182,-21.884393063583843,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2670,1383,-6.22360208841031,489.06448891303313,-3043.7427745664736,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,465,1385,-6.4393885785335385,5.632782656026378,-36.271676300578065,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3654,1437,-7.213663373476661,5.019777162336242,-36.21098265895955,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3058,1539,-11.646235458219232,199.20525716680868,-2319.991329479768,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4746,1548,-6.415605616320396,5.0139662537817955,-32.16763005780342,-1,1
